SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,2002-12-13,22.75,-158.00,25,17.2274,0.3,5.168 ,,,45.8582,0.0002,114.9125,0.02,,,2.3074,Rhizosolenia,0.1723,0.01,,,,0.0017,,,,,,,,,,,,,,,,,,10pm local time
,qPCR,2002-12-14,22.75,-158.00,25,1602.2283,0.3,480.669 ,,,186.3551,0.0002,21.1573,0.02,,,0.4604,Rhizosolenia,0.1437,0.01,,,,0.0014,,,,,,,,,,,,,,,,,,3am local time
,qPCR,2002-12-14,22.75,-158.00,25,151.7408,0.3,45.522 ,,,875.5022,0.0002,1.5545,0.02,,,0.2062,Rhizosolenia,1661.3932,0.01,,,,16.6139,,,,,,,,,,,,,,,,,,6am local time
,qPCR,2002-12-14,22.75,-158.00,25,57.0040,0.3,17.101 ,,,1490.1444,0.0002,1.1082,0.02,,,0.3202,Rhizosolenia,601.9045,0.01,,,,6.0190,,,,,,,,,,,,,,,,,,10am local time
,qPCR,2002-12-14,22.75,-158.00,25,59.1090,0.3,17.733 ,,,120.6049,0.0002,0.8702,0.02,,,0.0415,Rhizosolenia,57.0040,0.01,,,,0.5700,,,,,,,,,,,,,,,,,,2pm local time
,qPCR,2002-12-14,22.75,-158.00,25,1.6315,0.3,0.489 ,,,74.3689,0.0002,67.5144,0.02,,,1.3652,Rhizosolenia,1.2207,0.01,,,,0.0122,,,,,,,,,,,,,,,,,,6pm local time
,qPCR,2002-12-14,22.75,-158.00,25,10.7522,0.3,3.226 ,,,32.6916,0.0002,104.3212,0.02,,,2.0930,Rhizosolenia,0.7348,0.01,,,,0.0073,,,,,,,,,,,,,,,,,,10pm local time
,qPCR,2002-12-15,22.75,-158.00,25,6.0190,0.3,1.806 ,,,249.0723,0.0002,9.7612,0.02,,,0.2450,Rhizosolenia,1.0559,0.01,,,,0.0106,,,,,,,,,,,,,,,,,,4am local time
,qPCR,2002-12-15,22.75,-158.00,25,804.4736,0.3,241.342 ,,,687.4963,0.0002,1.3446,0.02,,,0.1644,Rhizosolenia,0.1661,0.01,,,,0.0017,,,,,,,,,,,,,,,,,,6am local time
,qPCR,2005-07-26,22.37,-157.50,5,661.9624,0.3,198.589 ,,,1.9201,0.0002,6.0140,0.02,,,0.1207,Hemiaulus ,19018.0799,0.01,,,,190.1808,,,,,,,,,,,,,,,,,,
,qPCR,2005-07-26,22.45,-157.65,5,97.6300,0.3,29.289 ,,,17.0314,0.0002,1.5179,0.02,,,0.0338,Hemiaulus ,88.2741,0.01,,,,0.8827,,,,,,,,,,,,,,,,,,
,qPCR,2005-07-26,22.55,-157.80,5,197.6211,0.3,59.286 ,,,578.7620,0.0002,1.3725,0.02,,,0.1432,Hemiaulus ,7427.3405,0.01,,,,74.2734,,,,,,,,,,,,,,,,,,
,qPCR,2005-07-26,22.58,-157.88,5,211.3489,0.3,63.405 ,,,7.3564,0.0002,4.9166,0.02,,,0.0998,Hemiaulus ,3924.1898,0.01,,,,39.2419,,,,,,,,,,,,,,,,,,
,qPCR,2005-07-26,22.63,-157.95,5,285.9236,0.3,85.777 ,,,11.7715,0.0002,10.6435,0.02,,,0.2152,Hemiaulus ,3669.3010,0.01,,,,36.6930,,,,,,,,,,,,,,,,,,
,qPCR,2005-07-26,22.68,-158.05,5,473.1513,0.3,141.945 ,,,57.0493,0.0002,21.5443,0.02,,,0.4423,Hemiaulus ,8214.5416,0.01,,,,82.1454,,,,,,,,,,,,,,,,,,
,qPCR,2005-07-26,22.75,-158.15,5,1.0491,0.3,0.315 ,,,374.0388,0.0002,0.3831,0.02,,,0.0825,Hemiaulus ,123.4999,0.01,,,,1.2350,,,,,,,,,,,,,,,,,,
,qPCR,2005-07-26,22.83,-158.30,5,97.6300,0.3,29.289 ,,,45.0990,0.0002,15.9251,0.02,,,0.3275,Hemiaulus ,151.0660,0.01,,,,1.5107,,,,,,,,,,,,,,,,,,
,qPCR,2003-04-24,7.14,-51.49,70,0.3900,0.3,0.117 ,,,0.9700,0.0002,2.3000,0.02,0.5600,0.01,0.0518,"Hemiaulus,Rhizosolenia",0.1470,0.01,,,,0.0015,,,,,,,,,,,27.50,36.10,,,,,,
,qPCR,2003-04-24,7.14,-51.49,60,1.6000,0.3,0.480 ,,,0.4100,0.0002,2.5000,0.02,0.0000,0.01,0.0501,"Hemiaulus,Rhizosolenia",0.1540,0.01,,,,0.0015,,,,,,,,,,,27.80,36.00,,,,,,
,qPCR,2003-04-24,7.14,-51.49,50,1.3000,0.3,0.390 ,,,1.4000,0.0002,1.4000,0.02,0.0860,0.01,0.0291,"Hemiaulus,Rhizosolenia",0.2870,0.01,,,,0.0029,,,,,,,,,,,28.20,35.80,,,,,,
,qPCR,2003-04-24,7.14,-51.49,30,93.0000,0.3,27.900 ,,,6.5000,0.0002,1.0000,0.02,54.0000,0.01,0.5613,"Hemiaulus,Rhizosolenia",18.4000,0.01,,,,0.1840,,,,,,,,,,,28.20,35.70,,,,,,
,qPCR,2003-04-24,7.14,-51.49,20,130.0000,0.3,39.000 ,,,5.2000,0.0002,9.1000,0.02,110.0000,0.01,1.2830,"Hemiaulus,Rhizosolenia",32.2000,0.01,,,,0.3220,,,,,,,,,,,28.20,35.40,,,,,,
,qPCR,2003-04-24,7.14,-51.49,10,51.0000,0.3,15.300 ,,,1.7000,0.0002,9.7000,0.02,86.0000,0.01,1.0543,"Hemiaulus,Rhizosolenia",44.4000,0.01,,,,0.4440,,,,,,,,,,,28.20,35.10,,,,,,
,qPCR,2003-04-26,10.20,-54.62,60,0.4600,0.3,0.138 ,,,0.0100,0.0002,0.1900,0.02,0.0100,0.01,0.0039,"Hemiaulus,Rhizosolenia",22.0000,0.01,,,,0.2200,,,,,,,,,,,26.90,36.10,,,,,,
,qPCR,2003-04-26,10.20,-54.62,40,0.1300,0.3,0.039 ,,,0.2100,0.0002,0.5500,0.02,0.0100,0.01,0.0111,"Hemiaulus,Rhizosolenia",48.0540,0.01,,,,0.4805,,,,,,,,,,,27.30,35.70,,,,,,
,qPCR,2003-04-26,10.20,-54.62,30,0.2000,0.3,0.060 ,,,0.0550,0.0002,0.3500,0.02,0.0100,0.01,0.0071,"Hemiaulus,Rhizosolenia",62.0950,0.01,,,,0.6210,,,,,,,,,,,27.50,35.20,,,,,,
,qPCR,2003-04-26,10.20,-54.62,20,3.8000,0.3,1.140 ,,,0.0100,0.0002,1.8000,0.02,1.4000,0.01,0.0500,"Hemiaulus,Rhizosolenia",1.3700,0.01,,,,0.0137,,,,,,,,,,,27.60,35.10,,,,,,
,qPCR,2003-04-26,10.20,-54.62,10,39.0000,0.3,11.700 ,,,0.1100,0.0002,2.2000,0.02,5.8000,0.01,0.1020,"Hemiaulus,Rhizosolenia",11000.5200,0.01,,,,110.0052,,,,,,,,,,,27.70,35.00,,,,,,
,qPCR,2003-04-26,10.20,-54.62,0,17.0000,0.3,5.100 ,,,0.0120,0.0002,4.9000,0.02,8.9000,0.01,0.1870,"Hemiaulus,Rhizosolenia",6500.8400,0.01,,,,65.0084,,,,,,,,,,,27.70,34.90,,,,,,
,qPCR,2003-05-01,11.45,-55.56,90,0.0000,0.3,0.000 ,,,0.0270,0.0002,0.0100,0.02,0.4600,0.01,0.0048,Hemiaulus,7.0000,0.01,,,,0.0700,,,,,,,,,,,25.80,36.20,,,,,,
,qPCR,2003-05-01,11.45,-55.56,75,0.0000,0.3,0.000 ,,,0.4800,0.0002,0.0100,0.02,2.3000,0.01,0.0233,"Hemiaulus,Rhizosolenia",61.0000,0.01,,,,0.6100,,,,,,,,,,,26.00,36.10,,,,,,
,qPCR,2003-05-01,11.45,-55.56,50,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0100,0.02,0.1300,0.01,0.0015,"Hemiaulus,Rhizosolenia",140.0000,0.01,,,,1.4000,,,,,,,,,,,26.80,36.00,,,,,,
,qPCR,2003-05-01,11.45,-55.56,30,1.3000,0.3,0.390 ,,,3.3000,0.0002,2.5000,0.02,2.0000,0.01,0.0707,"Hemiaulus,Rhizosolenia",146.0000,0.01,,,,1.4600,,,,,,,,,,,27.70,34.60,,,,,,
,qPCR,2003-05-01,11.45,-55.56,13,0.0930,0.3,0.028 ,,,2.6000,0.0002,0.0000,0.02,0.4100,0.01,0.0046,Hemiaulus,130.0000,0.01,,,,1.3000,,,,,,,,,,,27.70,34.60,,,,,,
,qPCR,2003-05-04,7.77,-54.35,90,0.0000,0.3,0.000 ,,,0.1600,0.0002,0.0100,0.02,0.0100,0.01,0.0003,Hemiaulus,24.0000,0.01,,,,0.2400,,,,,,,,,,,26.00,36.90,,,,,,
,qPCR,2003-05-04,7.77,-54.35,65,0.0740,0.3,0.022 ,,,1.3000,0.0002,0.3100,0.02,0.0100,0.01,0.0066,"Hemiaulus,Rhizosolenia",19.0000,0.01,,,,0.1900,,,,,,,,,,,27.00,36.20,,,,,,
,qPCR,2003-05-04,7.77,-54.35,45,1.9000,0.3,0.570 ,,,1.1000,0.0002,0.2700,0.02,0.0100,0.01,0.0057,Hemiaulus,35.0000,0.01,,,,0.3500,,,,,,,,,,,26.90,36.20,,,,,,
,qPCR,2003-05-04,7.77,-54.35,30,3.8000,0.3,1.140 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Hemiaulus,24.0000,0.01,,,,0.2400,,,,,,,,,,,26.90,36.10,,,,,,
,qPCR,2003-05-04,7.77,-54.35,15,0.0000,0.3,0.000 ,,,0.7600,0.0002,0.0430,0.02,0.0100,0.01,0.0011,Hemiaulus,720.0000,0.01,,,,7.2000,,,,,,,,,,,27.70,30.40,,,,,,
,qPCR,2003-05-04,7.77,-54.35,0,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,"Hemiaulus,Rhizosolenia",0.0100,0.01,,,,0.0001,,,,,,,,,,,27.80,28.60,,,,,,
,qPCR,2003-05-11,10.77,-53.97,88,0.0100,0.3,0.003 ,,,0.0000,0.0002,0.0100,0.02,0.0100,0.01,0.0003,Hemiaulus,1.1000,0.01,,,,0.0110,,,,,,,,,,,25.80,36.50,,,,,,
,qPCR,2003-05-11,10.77,-53.97,70,2.2000,0.3,0.660 ,,,0.0000,0.0002,3.8000,0.02,71.0000,0.01,0.7860,"Hemiaulus,Rhizosolenia",2.8000,0.01,,,,0.0280,,,,,,,,,,,26.20,36.30,,,,,,
,qPCR,2003-05-11,10.77,-53.97,60,7.7000,0.3,2.310 ,,,0.1600,0.0002,1.6000,0.02,0.0100,0.01,0.0321,"Hemiaulus,Rhizosolenia",28.0086,0.01,,,,0.2801,,,,,,,,,,,26.50,36.20,,,,,,
,qPCR,2003-05-11,10.77,-53.97,45,0.2000,0.3,0.060 ,,,0.0100,0.0002,3.0000,0.02,0.0100,0.01,0.0601,"Hemiaulus,Rhizosolenia",110.0000,0.01,,,,1.1000,,,,,,,,,,,26.70,36.20,,,,,,
,qPCR,2003-05-11,10.77,-53.97,25,36.0000,0.3,10.800 ,,,0.0100,0.0002,0.0000,0.02,52.0000,0.01,0.5200,"Hemiaulus,Rhizosolenia",17000.1300,0.01,,,,170.0013,,,,,,,,,,,26.80,35.80,,,,,,
,qPCR,2003-05-11,10.77,-53.97,10,14.0000,0.3,4.200 ,,,0.1000,0.0002,0.3400,0.02,0.0000,0.01,0.0068,"Hemiaulus,Rhizosolenia",230.0600,0.01,,,,2.3006,,,,,,,,,,,27.50,34.30,,,,,,
,qPCR,2003-05-12,10.75,-51.72,110,0.0000,0.3,0.000 ,,,0.0100,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Hemiaulus,23.0000,0.01,,,,0.2300,,,,,,,,,,,24.30,36.40,,,,,,
,qPCR,2003-05-12,10.75,-51.72,90,0.0000,0.3,0.000 ,,,14.0000,0.0002,0.0000,0.02,0.0100,0.01,0.0029,Hemiaulus,0.0000,0.01,,,,0.0000,,,,,,,,,,,25.60,36.40,,,,,,
,qPCR,2003-05-12,10.75,-51.72,75,3.0000,0.3,0.900 ,,,190.0000,0.0002,0.0100,0.02,0.0100,0.01,0.0383,"Hemiaulus,Rhizosolenia",0.2700,0.01,,,,0.0027,,,,,,,,,,,26.10,36.50,,,,,,
,qPCR,2003-05-12,10.75,-51.72,50,0.5800,0.3,0.174 ,,,220.0000,0.0002,0.2100,0.02,0.7800,0.01,0.0560,"Hemiaulus,Rhizosolenia",0.9400,0.01,,,,0.0094,,,,,,,,,,,26.10,36.50,,,,,,
,qPCR,2003-05-12,10.75,-51.72,35,2.3000,0.3,0.690 ,,,260.0000,0.0002,0.1300,0.02,0.1100,0.01,0.0557,"Hemiaulus,Rhizosolenia",0.4300,0.01,,,,0.0043,,,,,,,,,,,26.10,36.50,,,,,,
,qPCR,2003-05-12,10.75,-51.72,20,0.0000,0.3,0.000 ,,,0.0100,0.0002,0.0100,0.02,0.0410,0.01,0.0006,Hemiaulus,0.0000,0.01,,,,0.0000,,,,,,,,,,,26.10,36.40,,,,,,
,qPCR,2003-05-13,10.58,-49.69,90,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0100,0.01,0.0001,Hemiaulus,0.0000,0.01,,,,0.0000,,,,,,,,,,,23.00,36.40,,,,,,
,qPCR,2003-05-13,10.58,-49.69,70,0.2800,0.3,0.084 ,,,0.1000,0.0002,0.2100,0.02,1.3000,0.01,0.0172,"Hemiaulus,Rhizosolenia",0.2700,0.01,,,,0.0027,,,,,,,,,,,25.50,36.40,,,,,,
,qPCR,2003-05-13,10.58,-49.69,50,2.7000,0.3,0.810 ,,,11.0000,0.0002,8.1000,0.02,7.8000,0.01,0.2422,"Hemiaulus,Rhizosolenia",1.3000,0.01,,,,0.0130,,,,,,,,,,,27.10,36.30,,,,,,
,qPCR,2003-05-13,10.58,-49.69,35,44.0000,0.3,13.200 ,,,6.0000,0.0002,13.0000,0.02,5.6000,0.01,0.3172,"Hemiaulus,Rhizosolenia",3.2000,0.01,,,,0.0320,,,,,,,,,,,27.20,36.20,,,,,,
,qPCR,2003-05-13,10.58,-49.69,15,140.0000,0.3,42.000 ,,,7.8000,0.0002,6.5000,0.02,25.0000,0.01,0.3816,"Hemiaulus,Rhizosolenia",35.7700,0.01,,,,0.3577,,,,,,,,,,,27.00,35.70,,,,,,
,qPCR,2003-05-13,10.58,-49.69,5,1400.0000,0.3,420.000 ,,,15.0000,0.0002,15.0000,0.02,7.7000,0.01,0.3800,"Hemiaulus,Rhizosolenia",48.0000,0.01,,,,0.4800,,,,,,,,,,,27.30,35.70,,,,,,
,qPCR,2003-05-14,9.68,-48.33,75,4.6000,0.3,1.380 ,,,40.0000,0.0002,11.0000,0.02,0.0100,0.01,0.2281,"Hemiaulus,Rhizosolenia",3.3000,0.01,,,,0.0330,,,,,,,,,,,25.20,36.40,,,,,,
,qPCR,2003-05-14,9.68,-48.33,45,420.0000,0.3,126.000 ,,,93.0000,0.0002,1300.0000,0.02,46.0000,0.01,26.4786,"Hemiaulus,Rhizosolenia",12.8000,0.01,,,,0.1280,,,,,,,,,,,27.30,35.90,,,,,,
,qPCR,2003-05-14,9.68,-48.33,30,220.0000,0.3,66.000 ,,,74.0000,0.0002,660.0000,0.02,61.0000,0.01,13.8248,"Hemiaulus,Rhizosolenia",44.0000,0.01,,,,0.4400,,,,,,,,,,,27.40,35.90,,,,,,
,qPCR,2003-05-14,9.68,-48.33,15,2000.0000,0.3,600.000 ,,,230.0000,0.0002,490.0000,0.02,140.0000,0.01,11.2460,"Hemiaulus,Rhizosolenia",102.0000,0.01,,,,1.0200,,,,,,,,,,,27.40,35.90,,,,,,
,qPCR,2003-05-14,9.68,-48.33,5,81.0000,0.3,24.300 ,,,12.0000,0.0002,260.0000,0.02,6.2000,0.01,5.2644,"Hemiaulus,Rhizosolenia",25.4000,0.01,,,,0.2540,,,,,,,,,,,27.40,35.90,,,,,,
,qPCR,2003-05-18,8.63,-56.19,80,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Rhizosolenia,0.0000,0.01,,,,0.0000,,,,,,,,,,,26.30,36.20,,,,,,
,qPCR,2003-05-18,8.63,-56.19,65,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0100,0.02,0.0100,0.01,0.0003,Hemiaulus,0.1200,0.01,,,,0.0012,,,,,,,,,,,27.00,36.30,,,,,,
,qPCR,2003-05-18,8.63,-56.19,45,0.0000,0.3,0.000 ,,,0.0100,0.0002,0.0100,0.02,0.0000,0.01,0.0002,Hemiaulus,0.1300,0.01,,,,0.0013,,,,,,,,,,,27.00,36.00,,,,,,
,qPCR,2003-05-18,8.63,-56.19,25,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0100,0.02,0.0000,0.01,0.0002,Hemiaulus,1.9000,0.01,,,,0.0190,,,,,,,,,,,27.70,35.10,,,,,,
,qPCR,2003-05-18,8.63,-56.19,10,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Hemiaulus,0.9100,0.01,,,,0.0091,,,,,,,,,,,27.60,31.50,,,,,,
,qPCR,2003-05-18,8.63,-56.19,0,11.0000,0.3,3.300 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,"Hemiaulus,Rhizosolenia",2.7200,0.01,,,,0.0272,,,,,,,,,,,27.60,31.40,,,,,,
,qPCR,2003-05-20,10.87,-54.98,70,3.7000,0.3,1.110 ,,,0.0100,0.0002,0.0100,0.02,0.0100,0.01,0.0003,"Hemiaulus,Rhizosolenia",2.5000,0.01,,,,0.0250,,,,,,,,,,,26.50,36.20,,,,,,
,qPCR,2003-05-20,10.87,-54.98,45,2.1000,0.3,0.630 ,,,0.0000,0.0002,0.0000,0.02,3.2000,0.01,0.0320,Hemiaulus,100.0000,0.01,,,,1.0000,,,,,,,,,,,26.90,36.10,,,,,,
,qPCR,2003-05-20,10.87,-54.98,30,26.0000,0.3,7.800 ,,,0.4700,0.0002,0.1800,0.02,2.7000,0.01,0.0307,"Hemiaulus,Rhizosolenia",31.4000,0.01,,,,0.3140,,,,,,,,,,,27.30,35.00,,,,,,
,qPCR,2003-05-20,10.87,-54.98,15,55.0000,0.3,16.500 ,,,1.4000,0.0002,0.1500,0.02,4.1000,0.01,0.0443,"Hemiaulus,Rhizosolenia",150.2300,0.01,,,,1.5023,,,,,,,,,,,27.70,32.60,,,,,,
,qPCR,2003-04-20,11.37,-54.02,15,0.0000,0.3,0.000 ,,,0.0100,0.0002,0.2400,0.02,0.5800,0.01,0.0106,"Hemiaulus,Rhizosolenia",0.0000,0.01,,,,0.0000,,,,,,,,,,,26.90,35.90,,,,,,
,qPCR,2003-04-21,10.78,-52.28,10,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,0.0000,0.01,,,,0.0000,,,,,,,,,,,26.70,36.30,,,,,,
,qPCR,2003-04-24,7.40,-50.19,20,0.0000,0.3,0.000 ,,,0.0560,0.0002,0.5500,0.02,70.0000,0.01,0.7110,Hemiaulus,6000.0000,0.01,,,,60.0000,,,,,,,,,,,26.70,35.00,,,,,,
,qPCR,2003-04-25,8.86,-52.18,0,0.2500,0.3,0.075 ,,,3.4000,0.0002,0.6800,0.02,41.0000,0.01,0.4243,Hemiaulus,19.0000,0.01,,,,0.1900,,,,,,,,,,,27.80,31.90,,,,,,
,qPCR,2003-04-30,12.99,-55.96,5,39.0000,0.3,11.700 ,,,0.0000,0.0002,2.9000,0.02,0.0140,0.01,0.0581,Hemiaulus,9900.4800,0.01,,,,99.0048,,,,,,,,,,,27.20,34.70,,,,,,
,qPCR,2003-05-03,7.90,-55.35,10,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,Rhizosolenia,0.0000,0.01,,,,0.0000,,,,,,,,,,,27.80,33.80,,,,,,
,qPCR,2003-05-05,10.39,-56.20,10,0.4900,0.3,0.147 ,,,0.0100,0.0002,0.0100,0.02,1.5000,0.01,0.0152,Hemiaulus,6000.0000,0.01,,,,60.0000,,,,,,,,,,,27.60,33.40,,,,,,
,qPCR,2003-05-06,12.11,-56.05,20,0.1700,0.3,0.051 ,,,0.1500,0.0002,13.0000,0.02,13.0000,0.01,0.3900,Hemiaulus,41.1000,0.01,,,,0.4110,,,,,,,,,,,27.50,34.80,,,,,,
,qPCR,2003-05-17,7.64,-54.14,0,0.6400,0.3,0.192 ,,,0.0000,0.0002,0.0000,0.02,0.0000,0.01,0.0000,"Hemiaulus,Rhizosolenia",10.2700,0.01,,,,0.1027,,,,,,,,,,,27.40,26.90,,,,,,
,qPCR,2003-05-19,10.13,-57.37,5,0.0930,0.3,0.028 ,,,0.1500,0.0002,0.0000,0.02,0.0000,0.01,0.0000,"Hemiaulus,Rhizosolenia",0.3500,0.01,,,,0.0035,,,,,,,,,,,27.50,31.70,,,,,,
,qPCR,2005-10-25,34.00,-129.00,10,,,,,,7.2736,0.0002,0.0184,0.02,0.0000,0.01,0.0018,,,,,,,,,,,,,,,,,,19.34,33.43,0.007,0.132,0.05,0.0938,,
,qPCR,2005-10-25,34.00,-129.00,20,,,,,,4.5158,0.0002,0.3395,0.02,0.0000,0.01,0.0077,,,,,,,,,,,,,,,,,,19.33,33.46,0.009,0.122,0.07,0.0925,,
,qPCR,2005-10-25,34.00,-129.00,40,,,,,,10.3044,0.0002,1.5823,0.02,0.7500,0.01,0.0412,,,,,,,,,,,,,,,,,,19.12,33.49,0.007,0.111,0.07,0.0762,,
,qPCR,2005-10-25,34.00,-129.00,60,,,,,,5.7667,0.0002,0.1871,0.02,0.0369,0.01,0.0053,,,,,,,,,,,,,,,,,,16.54,33.48,0.009,0.093,0.10,0.0783,,
,qPCR,2005-10-25,34.00,-129.00,80,,,,,,0.1220,0.0002,0.0000,0.02,0.0000,0.01,0.0000,,,,,,,,,,,,,,,,,,15.31,33.52,0.008,0.114,0.07,0.0798,,
,qPCR,2005-10-25,34.00,-129.00,100,,,,,,0.0000,0.0002,0.3569,0.02,0.0000,0.01,0.0071,,,,,,,,,,,,,,,,,,14.66,33.56,0.045,0.137,0.33,0.1085,,
,qPCR,2005-09-06,34.93,29.47,40,100.0000,0.3,30.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2005-09-06,34.93,29.47,60,1000.0000,0.3,300.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2005-09-06,34.93,29.47,80,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2005-09-07,34.90,29.38,20,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2005-09-07,34.90,29.38,100,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2005-09-07,34.90,29.38,0,0.0000,0.3,0.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2007-06-07,1.50,6.00,1,21.0000,0.3,6.300 ,,,0.0000,0.0002,0.0100,0.02,,,0.0002,Hemiaulus,0.1860,0.01,,,,0.0019,,,,,,,,,,,28.00,33.40,,,,,,
,qPCR,2007-06-07,1.50,6.00,40,,,,,,0.0000,0.0002,0.0000,0.02,,,0.0000,,0.0000,0.01,,,,0.0000,,,,,,,,,,,,,,,,,,
,qPCR,2007-06-08,-0.50,6.00,1,0.4600,0.3,0.138 ,,,11.0000,0.0002,0.0100,0.02,,,0.0024,Hemiaulus,0.0800,0.01,,,,0.0008,,,,,,,,,,,25.60,35.60,,,,,,
,qPCR,2007-06-08,-0.50,6.00,38,3.8100,0.3,1.143 ,,,0.4200,0.0002,0.0000,0.02,,,0.0001,Hemiaulus,0.3900,0.01,,,,0.0039,,,,,,,,,,,22.00,36.20,,,,,,
,qPCR,2007-06-09,-1.74,8.00,0,0.0000,0.3,0.000 ,,,12.0000,0.0002,0.0000,0.02,,,0.0024,"Rhizosolenia, Hemiaulus",2.4800,0.01,Chaetoceros,1.6000,0.01,0.0408,,,,,,,,,,,25.10,36.20,,,,,,
,qPCR,2007-06-10,-5.98,8.00,2,8.0000,0.3,2.400 ,,,0.0100,0.0002,0.0000,0.02,,,0.0000,Rhizosolenia,0.0100,0.01,Chaetoceros,0.5600,0.01,0.0057,,,,,,,,,,,26.70,33.80,,,,,,
,qPCR,2007-06-10,-5.98,8.00,29,0.0830,0.3,0.025 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,,0.0000,0.01,Chaetoceros,0.1000,0.01,0.0010,,,,,,,,,,,26.40,33.90,,,,,,
,qPCR,2007-06-11,-5.62,5.85,0,25.0000,0.3,7.500 ,,,0.7000,0.0002,0.0000,0.02,,,0.0001,Rhizosolenia,11.0000,0.01,,0.0000,0.01,0.1100,,,,,,,,,,,26.50,33.10,,,,,,
,qPCR,2007-06-12,-4.51,2.32,0,14.0000,0.3,4.200 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,Rhizosolenia,1.3000,0.01,,0.0000,0.01,0.0130,,,,,,,,,,,26.50,34.90,,,,,,
,qPCR,2007-06-12,-4.51,2.32,39,0.0000,0.3,0.000 ,,,0.0000,0.0002,0.0000,0.02,,,0.0000,,0.0000,0.01,Chaetoceros,4.6000,0.01,0.0460,,,,,,,,,,,19.40,36.00,,,,,,
,qPCR,2007-06-13,-2.00,2.33,0,0.3700,0.3,0.111 ,,,9.5000,0.0002,0.0100,0.02,,,0.0021,Rhizosolenia,0.0870,0.01,,0.0000,0.01,0.0009,,,,,,,,,,,25.30,35.80,,,,,,
,qPCR,2007-06-13,-2.00,2.33,39,0.0370,0.3,0.011 ,,,7.2000,0.0002,0.0000,0.02,,,0.0014,Rhizosolenia,0.0420,0.01,Chaetoceros,4.2000,0.01,0.0424,,,,,,,,,,,21.50,35.80,,,,,,
,qPCR,2007-06-14,0.53,2.33,0,17.0000,0.3,5.100 ,,,17.0000,0.0002,0.2000,0.02,,,0.0074,,0.0000,0.01,Chaetoceros,0.0100,0.01,0.0001,,,,,,,,,,,27.00,34.70,,,,,,
