LATITUDE,LONGITUDE,Trichodesmium nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),DEPTH (m)
38,142,0.0,2.18,0.0,34.0
38,142,0.0,0.57,0.0,62.0
38,142,0.0,264.25,0.0,0.0
38,143,0.0,0.87,0.0,0.0
39,142,1.07,0.0,0.0,0.0
39,142,37.08,1.18,0.0,0.0
39,142,13.85,0.4,0.0,31.0
39,142,0.0,0.96,0.0,62.0
39,142,13.43,0.0,0.0,0.0
39,143,2.06,0.0,0.0,0.0
38,141,1.31,0.0,0.0,0.0
38,142,2.86,2.76,0.0,0.0
38,142,0.0,0.57,0.0,0.0
38,142,0.41,0.0,0.0,32.0
38,142,0.0,0.42,0.0,65.0
38,143,87.0,0.0,0.0,0.0
39,142,0.0,0.0,0.0,0.0
39,142,0.0,0.71,0.0,0.0
39,142,0.0,0.0,0.0,41.0
39,142,0.0,0.0,0.0,76.0
39,142,0.0,0.0,0.0,0.0
39,143,0.0,0.0,0.0,0.0
38,141,0.0,0.92,0.0,0.0
38,142,0.0,0.0,0.0,0.0
38,142,0.0,0.0,0.0,0.0
38,142,0.0,0.0,0.0,62.0
38,142,0.0,0.0,0.0,119.0
38,142,0.0,0.0,0.0,0.0
39,142,0.0,12.37,0.0,0.0
39,142,0.0,11.08,0.0,23.0
39,142,0.0,0.66,0.0,42.0
39,142,0.0,10.47,0.0,0.0
39,143,0.0,27.98,0.0,0.0
38,141,0.0,40.53,0.0,0.0
38,142,0.0,2.31,0.0,0.0
38,142,0.0,0.0,0.0,0.0
38,142,0.0,0.0,0.0,25.0
38,142,0.0,0.0,0.0,44.0
38,142,0.0,0.0,0.0,0.0
38,143,0.0,1.14,0.0,0.0
38,143,0.0,0.0,0.0,0.0
39,142,4.68,0.0,0.0,0.0
39,142,2.01,0.0,0.0,0.0
39,142,0.0,0.45,0.0,38.0
39,142,0.0,1.2,0.0,72.0
39,142,0.0,9.49,0.0,0.0
39,143,0.0,2.77,0.0,0.0
38,142,2.83,1.06,0.0,0.0
38,142,0.0,7.95,0.0,0.0
38,142,0.51,2.13,0.0,0.0
38,143,10.49,12.08,0.72,0.0
39,142,0.0,0.0,0.0,0.0
39,142,0.0,0.0,0.0,14.0
39,142,0.0,0.0,0.0,26.0
39,142,0.0,0.0,0.0,0.0
39,143,0.0,0.0,0.0,0.0
38,142,0.0,0.0,0.0,0.0
38,142,0.0,0.0,0.0,0.0
38,142,0.0,0.0,0.0,25.0
38,142,0.0,0.0,0.0,65.0
38,142,0.0,0.0,0.0,0.0
38,143,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,0.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,5.6,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,135,0.0,0.0,0.0,10.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,0.0
35,136,0.0,0.0,0.0,10.0
35,136,0.0,5.0,0.0,10.0
35,136,0.0,0.0,0.0,10.0
35,136,0.0,0.0,0.0,10.0
35,136,0.0,0.0,0.0,10.0
