SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2/A3/A4 nifH Gene (x106 copies m-3),Total UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),UCYN-C nifH Gene (x106 copies m-3),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),SiO2 (µM),Chlorophyll  (mg m-3),Notes
,qPCR,8/16/2001,57.23 ,16.57 ,4.0 ,,,,,,,see notes,164.844 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.26 ,17.06 ,4.0 ,,,,,,,see notes,244.326 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.28 ,17.16 ,4.0 ,,,,,,,see notes,79.896 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.30 ,17.28 ,4.0 ,,,,,,,see notes,59.616 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.32 ,17.38 ,4.0 ,,,,,,,see notes,9.486 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.34 ,17.50 ,4.0 ,,,,,,,see notes,8.448 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.35 ,18.00 ,4.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.16 ,16.41 ,4.0 ,,,,,,,see notes,6.246 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.19 ,16.49 ,4.0 ,,,,,,,see notes,83.634 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.23 ,16.57 ,4.0 ,,,,,,,see notes,12.402 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.26 ,17.06 ,4.0 ,,,,,,,see notes,5.100 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.28 ,17.16 ,4.0 ,,,,,,,see notes,13.122 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.30 ,17.28 ,4.0 ,,,,,,,see notes,0.792 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.32 ,17.38 ,4.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.34 ,17.50 ,4.0 ,,,,,,,see notes,10.530 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,10/8/2001,57.35 ,18.00 ,4.0 ,,,,,,,see notes,2.154 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,36.500 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.374 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,2.090 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.055 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,1.040 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,0.175 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,4.110 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/12/1999,57.19 ,20.03 ,1.0 ,,,,,,,see notes,2.090 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
"Boström et al. (2007b), doi:10.1111/j.1462-2920.2006.01124.x",qPCR,5/21/2001,57.16 ,16.31 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.16 ,16.41 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.19 ,16.49 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.23 ,16.57 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.26 ,17.06 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.28 ,17.16 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.30 ,17.28 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.32 ,17.38 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.34 ,17.50 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.35 ,18.00 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
,qPCR,5/21/2001,57.38 ,18.13 ,4.0 ,,,,,,,,,,,,,6.00 ,,,,,,Gamma-proteobacterium (heterotrophic) using Real-Time PCR quantification 
"Church et al. (2005a), doi:10.3354/ame038003",qPCR,12/14/2002,22.75 ,-158.00 ,5.0 ,7.638 ,0.19 ,,0.19 ,,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,25.0 ,2.987 ,186.37 ,,186.37 ,1.634 ,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,45.0 ,1.076 ,111.23 ,,111.23 ,2.010 ,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,75.0 ,2.537 ,55.76 ,,55.76 ,3.377 ,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,100.0 ,0.012 ,6.98 ,,6.98 ,0.261 ,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,125.0 ,,0.14 ,,0.14 ,0.035 ,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,150.0 ,,0.42 ,,0.42 ,0.010 ,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,175.0 ,,0.20 ,,0.20 ,0.036 ,,,,,,,,,,,,,,
,qPCR,12/14/2002,22.75 ,-158.00 ,200.0 ,,,,,0.010 ,,,,,,,,,,,,,,
"Church et al. (2005b), doi:10.1128/Aem.71.9.5362-5370.2005",qPCR,12/13/2002,22.75 ,-158.00 ,5.0 ,16.065 ,93.45 ,,93.45 ,36.210 ,,Rhizosolenia,11.780 ,11.780 ,,,,,,,,,,midnight sample
,qPCR,12/13/2002,22.75 ,-158.00 ,25.0 ,8.161 ,93.45 ,,93.45 ,44.367 ,,Rhizosolenia,5.610 ,5.610 ,,,,,,,,,,midnight sample
,qPCR,12/13/2002,22.75 ,-158.00 ,45.0 ,1.501 ,7.63 ,,7.63 ,873.326 ,,Rhizosolenia,2.335 ,2.335 ,,,,,,,,,,midnight sample
,qPCR,12/13/2002,22.75 ,-158.00 ,75.0 ,1.403 ,7.13 ,,7.13 ,362.096 ,,,,,,,,,,,,,,midnight sample
,qPCR,12/13/2002,22.75 ,-158.00 ,100.0 ,,1.72 ,,1.72 ,1.311 ,,,,,,,,,,,,,,midnight sample
