SOURCE: Related article,METHODS: Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),UCYN-A Cells (x106 m-3),UCYN-B Cells (x106 m-3),UCYN-C Cells (x106 m-3),UCYN Cells (x106 m-3),Richelia Associated Species,Richelia intracellularis (x106 m-3),Calothrix Associated Species,Calothrix intracellularis  (x106 m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,Standard Light Microscopy,3/5/1975,13.20,-59.70,50,,,0.08,,,,,,,,,25.10,35.63,,,,0.11,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,75,,,0.01,,,,,,,,,25.10,35.88,,,,0.21,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,100,,,0.09,,,,,,,,,25.30,36.53,,,,0.16,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,150,,,0.01,,,,,,,,,23.20,37.04,,,,0.01,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,175,,,0.01,,,,,,,,,22.80,36.91,,,,,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,5,,,0.17,,,,,,,,,25.20,35.22,,,,0.08,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,15,,,0.22,,,,,,,,,25.20,35.24,,,,0.08,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,25,,,0.34,,,,,,,,,25.20,35.23,,,,0.09,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,35,,,0.33,,,,,,,,,25.20,35.27,,,,0.09,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,50,,,0.10,,,,,,,,,25.20,35.44,,,,0.14,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,74,,,0.01,,,,,,,,,25.20,36.29,,,,0.18,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,98,,,0.00,,,,,,,,,24.90,36.74,,,,0.11,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,147,,,0.00,,,,,,,,,22.60,36.96,,,,0.02,
,Standard Light Microscopy,3/18/1975,13.20,-59.70,172,,,0.00,,,,,,,,,21.20,36.87,,,,0.01,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,5,,,0.40,,,,,,,,,25.40,34.75,,,,0.07,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,15,,,0.66,,,,,,,,,25.40,34.95,,,,0.11,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,25,,,1.18,,,,,,,,,25.30,35.31,,,,0.16,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,35,,,0.91,,,,,,,,,25.20,35.68,,,,0.16,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,50,,,0.42,,,,,,,,,25.10,35.75,,,,0.10,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,75,,,0.15,,,,,,,,,25.00,35.89,,,,0.12,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,100,,,0.11,,,,,,,,,24.80,36.01,,,,0.09,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,150,,,0.01,,,,,,,,,23.60,37.22,,,,0.03,
,Standard Light Microscopy,4/1/1975,13.20,-59.70,175,,,0.00,,,,,,,,,22.30,36.89,,,,0.01,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,5,,,0.66,,,,,,,,,25.70,35.04,,,,0.10,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,15,,,0.64,,,,,,,,,,35.03,,,,0.12,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,25,,,1.09,,,,,,,,,,35.06,,,,0.11,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,34,,,0.69,,,,,,,,,,35.06,,,,0.12,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,47,,,0.25,,,,,,,,,,35.58,,,,0.08,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,71,,,0.05,,,,,,,,,,36.25,,,,0.11,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,94,,,0.07,,,,,,,,,,37.00,,,,0.10,
,Standard Light Microscopy,4/18/1975,13.20,-59.70,141,,,0.00,,,,,,,,,,37.04,,,,0.02,
