SOURCE: Related article,SOURCE: Related article,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,INTEGRAL DEPTH (m),Trichodesmium Colonies (x103 m-2),Trichodesmium Free trichomes (x106 m-2),Trichodesmium Total Trichomes (x106 m-2),UCYN Cells (x106 m-2),Richelia Associated Species,Richelia intracellularis (x106 m-2),Calothrix Associated Species,Calothrix intracellularis  (x106 m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),Surface Fe (nM),Chlorophyll  (mg m-2),Notes
,Standard Light Microscopy,1975-05-30,29.50,-34.00,50,,,0.148 ,,,,,,23.20 ,36.75 ,,,,,
,Standard Light Microscopy,1975-05-31,29.50,-38.00,50,,,0.029 ,,,,,,23.10 ,26.83 ,,,,,
,Standard Light Microscopy,1975-06-01,29.50,-42.00,50,,,0.017 ,,,,,,23.50 ,26.69 ,,,,,
,Standard Light Microscopy,1975-06-02,29.50,-46.50,50,,,0.006 ,,,,,,23.60 ,36.83 ,,,,,
,Standard Light Microscopy,1975-06-03,29.50,-50.00,50,,,0.019 ,,,,,,23.20 ,36.74 ,,,,,
,Standard Light Microscopy,1975-06-04,29.50,-54.00,50,,,0.112 ,,,,,,23.90 ,36.86 ,,,,,
,Standard Light Microscopy,1975-06-05,29.50,-58.00,50,,,0.031 ,,,,,,24.30 ,36.61 ,,,,,
,Standard Light Microscopy,1975-06-06,31.00,-62.00,50,,,0.020 ,,,,,,23.80 ,36.47 ,,,,,
"Orcutt et al. (2001), doi:10.1016/S0967-0645(00)00157-0",Epifluorescence Microscopy ,1995-05-15,31.83,-64.17,100,1.142 ,,0.228 ,,,,,,,,,,,,
,Epifluorescence Microscopy ,1996-10-10,31.83,-64.17,100,0.701 ,,0.140 ,,,,,,,,,,,,
"Tyrrell et al. (2003), doi:10.1093/plankt/25.4.405",Standard Light Microscopy,1999-05-05,-30.44,-42.16,120,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-06,-28.51,-38.19,100,,,0.975 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-07,-26.53,-34.15,110,,,0.630 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-08,-24.33,-29.33,120,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-10,-19.12,-23.22,140,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-12,-13.10,-18.13,130,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-13,-9.51,-15.40,85,,,0.100 ,,,,,,,,,,,,
,Standard Light Microscopy,2009-05-18,-7.40,-14.52,65,,,0.300 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-20,0.05,-16.80,60,,,7.555 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-21,3.50,-17.88,60,,,18.445 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-23,11.30,-20.15,30,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-25,18.50,-21.00,25,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-26,22.60,-21.02,58,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-28,30.30,-21.56,105,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-29,34.20,-20.80,85,,,0.000 ,,,,,,,,,,,,
,Standard Light Microscopy,1999-05-30,38.10,-20.01,65,,,0.000 ,,,,,,,,,,,,
"Villareal et al. (2011), doi:10.1029/2010jc006268",Standard Light Microscopy,2002-06-24,28.02,-159.00,234,,,0.000 ,,"Hemiaulus,Rhizosolenia",0.451 ,,,24.59 ,35.38 ,0.02 ,0.15 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-06-26,28.01,-158.02,175,,,0.000 ,,"Hemiaulus,Rhizosolenia",0.464 ,,,24.78 ,35.41 ,0.16 ,0.09 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-06-28,28.00,-156.23,175,,,0.000 ,,"Hemiaulus,Rhizosolenia",0.478 ,,,26.58 ,35.49 ,0.18 ,0.10 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-06-30,28.00,-153.74,300,,,0.000 ,,"Hemiaulus,Rhizosolenia",0.876 ,,,26.83 ,35.53 ,0.17 ,0.01 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-02,29.01,-151.42,300,,,0.000 ,,"Hemiaulus,Rhizosolenia",0.326 ,,,24.45 ,35.49 ,0.10 ,0.03 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-03,30.50,-149.62,300,,,0.000 ,,"Hemiaulus,Rhizosolenia",65.991 ,,,23.70 ,35.17 ,0.11 ,0.02 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-04,30.47,-147.03,175,,,0.000 ,,"Hemiaulus,Rhizosolenia",75.015 ,,,23.34 ,35.22 ,0.02 ,0.04 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-05,30.44,-145.45,175,,,0.000 ,,"Hemiaulus,Rhizosolenia",33.181 ,,,23.53 ,35.22 ,0.09 ,0.03 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-06,30.96,-143.10,175,,,0.000 ,,"Hemiaulus,Rhizosolenia",56.726 ,,,22.55 ,34.61 ,0.00 ,0.04 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-07,31.58,-141.20,176,,,0.000 ,,"Hemiaulus,Rhizosolenia",9.060 ,,,22.36 ,34.54 ,0.23 ,0.09 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-08,32.35,-138.64,199,,,0.000 ,,"Hemiaulus,Rhizosolenia",6.775 ,,,21.47 ,33.72 ,0.08 ,0.19 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-11,30.42,-133.88,245,,,0.000 ,,"Hemiaulus,Rhizosolenia",4.701 ,,,20.52 ,34.19 ,0.02 ,0.16 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2002-07-12,30.80,-131.01,196,,,0.000 ,,"Hemiaulus,Rhizosolenia",0.153 ,,,19.00 ,33.34 ,0.31 ,0.29 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2003-08-22,28.00,-159.00,149,,,0.028 ,,"Hemiaulus,Rhizosolenia",0.021 ,,,25.98 ,35.47 ,0.05 ,0.12 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2003-08-25,28.00,-161.76,138,,,0.087 ,,"Hemiaulus,Rhizosolenia",0.003 ,,,26.15 ,35.40 ,0.03 ,0.05 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2003-08-26,28.00,-164.23,149,,,0.015 ,,"Hemiaulus,Rhizosolenia",0.059 ,,,26.21 ,35.45 ,0.09 ,0.09 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2003-08-27,28.00,-166.23,148,,,0.006 ,,"Hemiaulus,Rhizosolenia",6.339 ,,,26.83 ,35.37 ,0.04 ,0.10 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
,Standard Light Microscopy,2003-08-28,28.00,-168.65,150,,,0.000 ,,"Hemiaulus,Rhizosolenia",0.006 ,,,26.26 ,35.30 ,0.03 ,0.08 ,,,Richelia counts are derived from host diatom cell counts: assuming each host  Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis.
